replacement_id;van_route_fk;vehicle_fk
1;948;65
2;703;23
3;220;7
4;195;76
5;333;30
6;687;17
7;690;80
8;443;1
9;901;13
10;875;94
11;887;94
12;291;61
13;703;32
14;488;10
15;37;73
16;566;7
17;801;13
18;376;49
19;143;55
20;874;83
21;330;18
22;399;53
23;234;7
24;451;17
25;62;73
26;454;7
27;866;4
28;164;58
29;295;81
30;593;90
31;989;52
32;179;14
33;885;38
34;352;71
35;512;90
36;245;30
37;558;9
38;804;63
39;944;58
40;635;21
41;882;50
42;393;98
43;728;53
44;300;47
45;225;12
46;273;58
47;537;34
48;554;68
49;81;23
50;408;26
51;425;55
52;187;75
53;384;36
54;343;17
55;711;86
56;473;11
57;438;67
58;767;73
59;673;63
60;627;28
61;590;33
62;904;91
63;183;87
64;123;8
65;874;82
66;710;45
67;692;39
68;588;43
69;152;97
70;534;46
71;586;43
72;203;95
73;169;21
74;887;73
75;202;77
76;500;94
77;394;3
78;418;8
79;985;69
80;147;36
81;304;75
82;303;65
83;449;13
84;606;56
85;680;67
86;249;41
87;63;97
88;893;89
89;918;38
90;648;49
91;415;12
92;633;32
93;71;58
94;130;3
95;137;42
96;832;37
97;196;5
98;244;34
99;51;89
100;744;55
101;394;57
102;691;21
103;320;19
104;707;85
105;104;36
106;696;31
107;632;1
108;470;82
109;208;31
110;119;57
111;874;95
112;568;19
113;140;91
114;387;89
115;14;33
116;542;36
117;123;92
118;798;1
119;995;42
120;501;74
121;617;97
122;737;40
123;129;10
124;258;20
125;799;14
126;539;35
127;553;7
128;209;23
129;580;33
130;304;55
131;363;88
132;162;85
133;6;55
134;620;6
135;57;3
136;65;93
137;584;7
138;663;82
139;716;82
140;16;41
141;164;35
142;510;20
143;387;21
144;702;16
145;672;25
146;580;84
147;294;49
148;909;80
149;205;25
150;639;69
151;663;60
152;630;33
153;363;83
154;7;13
155;708;29
156;626;80
157;606;96
158;243;36
159;613;66
160;598;36
161;7;74
162;596;69
163;177;65
164;897;92
165;815;58
166;506;34
167;727;88
168;800;92
169;578;40
170;518;74
171;980;84
172;532;86
173;461;18
174;825;26
175;430;52
176;746;36
177;276;35
178;801;44
179;373;41
180;594;49
181;101;82
182;894;38
183;536;57
184;909;31
185;703;8
186;980;74
187;780;63
188;825;91
189;149;87
190;481;97
191;150;46
192;618;29
193;127;54
194;9;47
195;410;91
196;976;13
197;449;41
198;358;66
199;520;12
200;472;61
201;175;35
202;568;85
203;934;10
204;431;64
205;15;68
206;717;28
207;60;80
208;230;39
209;350;13
210;809;70
211;384;91
212;771;5
213;830;77
214;49;52
215;946;55
216;590;49
217;730;8
218;473;6
219;620;95
220;531;94
