rental_id;start_station_fk;end_station_fk;cost;rent_time;distance;vehicle_fk;user_fk;correct_putting;date_of_start;time_of_start
1;96;20;287.85;71;5615;27;71;1;12-09-2019;09:20
2;90;28;661.35;124;12979;97;12;1;05-03-2018;03:56
3;71;29;474.05;46;9389;49;3;1;29-09-2017;12:49
4;51;85;169.95;128;3143;92;21;1;16-02-2019;09:04
5;47;5;720.25;76;14253;49;5;1;10-09-2017;06:45
6;86;16;726.55;163;14205;95;45;1;03-08-2016;08:35
7;92;68;574.7;71;11352;73;46;1;29-07-2018;21:41
8;58;49;45.35;40;827;53;3;1;24-07-2016;20:43
9;1;30;303.95;64;5951;28;85;1;21-01-2017;12:49
10;55;19;103.3;131;1804;38;33;1;03-12-2018;20:57
11;69;59;605.35;172;11763;40;5;0;26-10-2017;10:08
12;59;7;110.65;31;2151;59;82;1;21-06-2019;07:10
13;40;1;511.7;70;10094;10;53;1;06-07-2016;17:50
14;47;91;605.75;39;12037;80;92;1;29-04-2016;14:37
15;41;50;699.75;152;13691;77;70;1;18-05-2017;18:36
16;19;83;242.5;38;4774;89;12;0;26-08-2017;21:38
17;8;47;651.5;165;12700;63;13;1;10-11-2016;11:02
18;98;84;275.6;141;5230;16;30;0;14-03-2016;14:06
19;93;90;545.25;43;10819;4;67;1;13-08-2016;11:31
20;18;22;137.7;42;2670;94;44;1;23-11-2017;23:17
21;55;41;114.6;87;2118;74;5;1;06-06-2019;21:11
22;17;5;62.05;112;1017;36;23;1;09-04-2019;18:04
23;91;97;260.1;164;4874;70;42;1;12-12-2018;03:42
24;30;89;744.7;110;14674;71;36;1;18-09-2018;13:43
25;81;88;707.9;111;13936;39;30;1;06-12-2017;09:17
26;37;12;138.2;97;2570;51;12;1;22-05-2019;10:19
27;4;75;694.55;14;13863;76;69;1;27-12-2016;21:44
28;95;91;144.3;156;2574;80;23;1;06-03-2019;22:55
29;18;45;517.7;85;10184;92;45;0;24-06-2017;08:42
30;58;48;533.65;126;10421;4;92;1;10-07-2018;08:01
31;5;22;106.9;71;1996;66;84;1;24-06-2018;18:23
32;26;67;671.6;102;13228;82;71;1;29-06-2018;06:44
33;58;88;656.45;21;13087;11;1;1;16-09-2017;03:51
34;66;39;226.5;45;4440;22;69;1;06-05-2016;03:09
35;71;17;662.95;103;13053;21;56;1;24-08-2017;02:33
36;33;36;654.15;7;13069;87;16;1;09-04-2017;11:01
37;64;3;286.4;149;5430;40;69;1;23-12-2016;04:59
38;7;81;113.0;29;2202;24;65;1;18-12-2016;06:39
39;57;27;603.8;6;12064;51;37;1;18-02-2016;00:48
40;45;27;236.4;36;4656;36;58;1;13-11-2018;23:44
41;99;87;60.0;36;1128;12;12;1;15-08-2019;17:39
42;8;97;579.15;169;11245;16;69;1;27-12-2016;01:29
43;84;25;430.9;144;8330;14;76;1;22-01-2016;21:04
44;1;67;433.35;63;8541;78;86;1;10-12-2016;15:32
45;74;48;124.3;54;2378;53;75;1;21-12-2017;17:51
46;60;95;133.9;123;2432;31;88;1;08-12-2016;06:44
47;22;14;233.4;95;4478;77;75;1;23-09-2019;09:04
48;9;17;19.25;53;279;65;84;1;18-05-2018;21:15
49;23;83;271.75;60;5315;97;77;1;05-10-2016;09:19
50;83;45;130.8;140;2336;26;94;1;10-07-2019;07:20
51;34;57;609.85;164;11869;82;1;1;23-03-2016;02:21
52;81;14;221.8;80;4276;25;25;1;15-11-2017;00:00
53;48;28;215.0;156;3988;15;12;1;14-02-2018;20:56
54;75;97;258.1;171;4820;25;75;0;22-03-2018;14:03
55;63;49;405.55;72;7967;81;28;1;17-12-2017;02:47
56;52;84;185.05;30;3641;69;65;1;30-05-2019;02:28
57;14;33;535.45;150;10409;7;18;1;12-03-2017;08:19
58;92;17;154.45;126;2837;45;46;1;29-10-2017;13:42
59;16;50;107.75;93;1969;24;63;1;26-05-2019;21:47
60;21;4;453.6;42;8988;26;84;1;24-04-2017;02:45
61;67;33;151.5;105;2820;42;93;1;14-04-2017;09:12
62;29;41;658.4;173;12822;23;43;1;17-03-2019;01:44
63;12;66;411.2;92;8040;9;80;1;24-10-2019;23:59
64;33;68;118.8;110;2156;8;27;1;23-02-2019;21:33
65;90;24;253.25;143;4779;100;55;1;06-04-2017;23:23
66;5;62;305.2;54;5996;15;68;1;24-04-2019;02:18
67;50;7;325.6;46;6420;38;55;1;04-12-2017;19:00
68;43;4;511.7;10;10214;11;70;1;13-12-2016;13:53
69;34;7;213.8;66;4144;18;98;1;26-06-2018;10:30
70;57;90;324.6;125;6242;56;18;1;07-06-2017;08:58
71;25;34;152.9;124;2810;11;34;1;11-03-2019;19:22
72;52;41;520.2;7;10390;48;48;1;16-10-2019;05:44
73;23;73;325.35;158;6191;58;34;1;09-05-2017;08:40
74;3;58;713.3;145;13976;16;49;1;24-07-2016;15:54
75;61;93;335.5;80;6550;25;48;1;05-12-2019;09:39
76;40;3;319.45;63;6263;73;86;1;28-11-2018;01:16
77;98;42;748.55;138;14695;2;79;1;31-01-2016;19:52
78;43;100;226.9;61;4416;1;32;1;12-05-2016;10:29
79;100;55;653.5;135;12800;24;78;1;26-02-2017;19:43
80;6;51;584.65;142;11409;87;31;1;07-11-2018;22:54
81;61;81;132.5;136;2378;34;58;1;10-01-2017;05:28
82;29;100;743.8;76;14724;37;30;1;01-07-2016;15:38
83;67;67;529.75;52;10491;21;94;1;12-11-2018;19:28
84;98;39;726.85;112;14313;39;55;1;13-01-2018;23:18
85;29;96;25.7;105;304;61;53;1;21-06-2016;04:34
86;84;67;723.45;26;14417;32;72;1;25-12-2018;16:45
87;98;77;739.5;120;14550;69;63;1;06-06-2017;12:40
88;32;18;556.25;150;10825;16;22;1;22-02-2017;14:28
89;64;6;721.5;60;14310;69;31;1;08-11-2017;06:08
90;30;26;591.35;55;11717;50;96;1;25-03-2019;15:15
91;23;42;604.85;34;12029;30;65;0;21-02-2018;20:36
92;100;50;677.05;54;13433;50;12;1;12-09-2017;22:09
93;44;65;263.35;60;5147;51;28;1;22-02-2016;11:28
94;59;22;756.5;70;14990;64;26;1;19-01-2019;22:31
95;20;40;585.6;163;11386;23;71;1;06-09-2016;17:12
96;4;41;723.25;26;14413;84;71;1;30-01-2018;01:40
