route_id;driver_fk;van_fk;date_of_route
1001;45;GD57TGQ;06-03-2020
1002;86;TK34K9Q;24-11-2022
1003;5;GD61ZQQ;07-08-2020
1004;45;GD87MPF;03-06-2020
1005;43;KR29X9I;09-01-2023
1006;67;KR87M4C;29-01-2023
1007;74;WA99PRU;17-07-2022
1008;95;GD06D85;09-07-2021
1009;9;WA99PRU;30-10-2023
1010;52;KR14TAY;20-11-2023
1011;14;WA97TYO;14-04-2020
1012;52;GD61ZQQ;30-01-2020
1013;33;BI41LHT;16-01-2020
1014;73;BI88LNN;25-11-2020
1015;5;GD51N8Q;30-04-2020
1016;45;PO19JLV;05-02-2023
1017;109;CZ756GL;06-01-2022
1018;52;LU74ZCY;22-09-2022
1019;49;CZ27USQ;23-05-2022
1020;66;TK874K0;02-05-2023
1021;31;TK62VE7;05-11-2023
1022;59;CZ68XDH;11-05-2023
1023;77;PO45ERW;17-02-2020
1024;48;KR67SSA;09-02-2020
1025;30;WA8739M;11-07-2021
1026;53;GD22YS8;23-12-2021
1027;20;LU10GDD;02-12-2023
1028;110;GD61ZQQ;11-02-2020
1029;4;GD859B3;14-07-2020
1030;35;LU10GDD;07-04-2023
1031;71;CZ19075;23-08-2023
1032;94;WA309UK;19-03-2022
1033;81;GD22YS8;31-07-2023
1034;31;PO89GNK;25-01-2021
1035;34;KR67SSA;16-03-2023
1036;50;TK11J2Q;28-02-2023
1037;59;WA97TYO;03-11-2022
1038;34;KR87M4C;26-12-2020
1039;25;PO89GNK;21-07-2022
1040;91;GD86UOW;24-08-2023
1041;37;GD36ADV;20-10-2021
1042;7;KR26AKC;04-01-2020
1043;22;LU61NPH;19-04-2021
1044;8;CZ685TS;21-10-2022
1045;65;TK22PJ4;08-03-2022
1046;23;PO89GNK;21-08-2020
1047;37;CZ35CIT;11-05-2021
1048;47;TK43T38;17-06-2022
1049;77;LU70J14;29-06-2021
1050;63;KR26AKC;16-11-2022
1051;107;PO56JD5;21-03-2021
1052;39;GD20E8I;05-06-2020
1053;34;TK43JKP;29-07-2023
1054;64;KR911TP;30-11-2020
1055;48;WA33BSN;09-04-2022
1056;106;TK351OI;07-09-2020
1057;5;GD75A4L;26-04-2020
1058;102;KR26AKC;08-05-2022
1059;61;BI77Q5T;18-05-2020
1060;92;WA32FQP;24-10-2021
1061;5;KR14TAY;04-11-2023
1062;103;LU70J14;25-09-2021
1063;21;WA8739M;10-03-2021
1064;20;GD31E0S;07-03-2023
1065;21;PO04CFG;08-11-2021
1066;99;LU70J14;30-09-2023
1067;107;WA65ZZ2;08-05-2023
1068;55;BI82J0A;02-04-2023
1069;55;BI88LNN;21-10-2022
1070;65;BI616Q6;27-06-2022
1071;37;PO04QZ2;20-06-2020
1072;21;CZ35CIT;30-05-2021
1073;52;GD57TGQ;25-01-2023
1074;67;WA97TYO;05-06-2021
1075;92;GD22YS8;15-01-2020
1076;96;CZ76VF9;09-09-2023
1077;32;PO153DZ;04-06-2020
1078;41;BI18RA3;13-10-2020
1079;71;WA8739M;10-06-2021
1080;2;PO56JD5;07-08-2022
1081;109;GD06D85;26-08-2020
1082;66;BI82J0A;26-02-2022
1083;82;GD61ZQQ;09-10-2023
1084;16;LU74ZCY;08-05-2023
1085;103;WA309UK;24-12-2022
1086;45;KR26AKC;07-01-2023
1087;30;BI06RH0;15-04-2022
1088;28;PO19JLV;25-12-2023
1089;85;LU31M73;13-10-2021
1090;75;KR29X9I;07-01-2020
1091;34;GD20E8I;05-09-2022
1092;90;GD06D85;30-06-2023
1093;94;WA27TV3;08-05-2022
1094;92;GD17XJS;11-01-2020
1095;95;BI06E73;18-08-2022
1096;40;PO89GNK;11-11-2023
1097;21;GD93345;05-01-2020
1098;90;LU72G0U;20-07-2022
1099;105;TK62VE7;08-03-2020
1100;20;TK351OI;26-05-2020
