License_Plate;In_Use;Capacity
KR4301RCFERB;1;9872598
KR5317D13TUW;1;5083330
TK8817FNFCGH;0;15558479
WA5753PE1ON9;0;15220139
WA61323OOUWK;0;11466027
PO9855F9E21E;1;12567449
GD8328HJCR7Q;1;11208556
CZ89621LFJ5C;1;11004238
KR3409CAN0FS;1;5367200
BI1883WOZPZJ;1;8132812
LU36071HMLFY;1;17956531
WA8426D4ZAAW;1;7488751
GD8623VB0VAT;1;18322907
GD6422623M65;1;16688744
PO9117CYTNU3;1;10628136
TK7235E425YW;1;11283984
TK4638ZFOD4G;1;7798915
GD9244E7OZPP;1;6957501
LU43505KLYTP;1;18193209
PO0728F7309X;1;18358274
PO1077K3AK7S;1;12071842
BI950943NKZT;1;19962996
BI7374X4PQHM;1;13014916
GD34084L74AA;1;7844733
KR2857ELLUUB;1;13392634
BI4905RMSMMI;1;6085424
BI8722IGLYO3;1;12258249
GD8442721XRQ;1;5197879
KR8424YV84K8;1;10975961
WA71728RUP6Z;1;8023239
TK1287H578T0;1;16521406
CZ5077BGQ8UB;0;10427534
PO3141PAOI5R;1;13218785
WA1559LZ1JVX;1;18159882
CZ6070SL2ZJL;0;8373361
LU2734ZJFG5Q;1;8136621
GD75955HQKH0;1;16115502
CZ10158P8GO1;1;16347013
LU507607CNHK;1;19185431
CZ5878FLZQIQ;1;10713884
GD99376BZ5TN;1;18033206
KR34160MOIX5;1;11637013
WA313632FKOW;1;15887623
WA0403W6GFDP;1;8371957
LU1614BLA1XK;1;9222460
BI84777YR8R5;1;9591029
CZ7514FAH7QQ;1;9602533
TK2479AHIPJA;1;13377592
TK9172R8QWCF;1;10783493
PO5126ML7KZM;1;5821713
KR1892THL5LA;1;11715866
LU4187AKVE23;1;11000308
GD64057UKX0N;0;13340341
CZ8544IECIPK;1;11399947
GD3642WBMR5B;1;18815663
GD8007BBKIW0;1;11251725
CZ6479WPI2EM;0;6280746
PO4369O7Z31O;1;10267383
TK6496F784HW;1;17427644
CZ88131F5HJT;1;9282803
KR5279I6SLAM;1;6410906
CZ2587KQ1VYC;1;11801220
TK61129MYH0X;1;13156597
WA6541MQ1WJB;1;11217368
WA46339WS4ZS;1;16154625
CZ3972SAVVEI;1;7672195
PO7888HAV3NM;1;16037246
KR3288EEM0TM;1;8020062
PO4629D6VTHZ;1;11565148
PO0830K7QSI3;1;10811462
WA2297NUDWKH;1;10198109
CZ7928Q7R0A6;1;18349885
TK5661M0FYSW;1;13932204
KR0667YLA2CI;1;10190834
CZ2416ICSIAR;1;15473708
CZ8178B87KFP;0;13640313
CZ0344I0X3BG;1;8361430
LU00720WZMD2;1;14544454
KR55568HNBL6;1;17334752
KR5558G2W4XR;1;6653271
CZ3287I6K7K1;1;5209014
TK4770XBS9CV;0;8081475
GD22088ZTC8A;1;11857211
WA57948GV9O7;1;19004002
GD3055B4W5U4;1;19295043
LU7804S6X64P;0;9340096
TK0582IUW97F;1;10774535
CZ00240Y5VCE;1;14528623
WA3303DV3GRP;1;11502361
PO6782Y53UPO;1;19678868
TK10844WLM1N;1;18319020
WA951073XPHL;0;9103450
TK6358R3HKX1;1;6836734
PO2283VTEIAO;1;11875806
WA00683LOLV0;1;16361674
KR0189FXVQ7Y;1;13777812
GD0094OJD6E3;0;6276929
KR44238OUF9Q;1;12970324
LU8496RO1QUA;1;15709670
GD2286DW7JQI;1;19477436
WA1905VYO3YR;0;8444439
WA51056FIOWI;1;16865806
BI0961XWC5QV;1;9529743
PO8003CRVWJ0;1;9667451
GD6685JSI4TD;1;12243108
GD5439UZQP7I;1;8744584
TK8131GH75ZP;1;14198878
GD11007V4OY1;1;7281604
WA5506XUD9I9;1;18597757
LU43625G0DXB;1;7118088
GD43226U8M0C;1;16233163
KR4632DZFYLR;1;6077061
CZ4168PRPLIM;1;9449449
CZ0985A83FPP;0;19142622
GD4116LFDELI;1;17655632
KR4841YA4MH6;1;14159412
WA3237BLLSBI;1;13577137
PO3073ICVQYT;1;13634540
CZ3585CYMINH;0;11759143
KR1452TQQ0LB;1;11112208
CZ0103FDJAV1;1;8995807
KR9771FSDJRA;1;7460301
KR39002EHQ9H;1;7467302
BI7117UZ6RND;1;16605532
LU0648PISIDL;0;19299328
LU26526O3KEB;1;14886062
PO4311HMXGJC;1;17452007
GD5908BOO0T7;1;18812038
WA3257JUCFQD;1;12457211
TK590562ZWJ9;0;17237099
WA6274RI5GA4;1;14149899
TK09905WSIRX;1;5032043
TK4424P3GF3X;1;13047865
LU7961ASBWOR;0;13887691
TK7310AIAHKW;1;5232027
TK5972DSWFX6;1;8087480
PO2022WHC4CV;1;12137778
LU7055WUXNER;1;6963730
GD2673RYBFO0;1;8479749
PO4851LJN5DP;1;8171518
LU03299XPA3D;1;13645347
BI59734RO4AX;1;16549996
PO8989DQT08J;1;6127030
BI2003WZF7Q2;1;9809392
LU256130YE7W;1;9485470
PO5478T141YA;1;19879081
LU2398T2MCEM;1;18354373
BI34562BZK4L;1;14803916
GD2121VFMEHQ;1;9633476
GD5868OMRQJL;1;5142944
GD2764T14Y7U;1;8174950
LU5246SAUUB5;1;14958235
TK3221436BSM;0;19556852
PO4209DXT0C9;1;19415695
CZ21318OHJTD;1;19043870
PO9966KXPPM7;1;6281995
CZ10389NA89F;1;16838020
GD7560RWQNS0;1;7790569
TK80364XS30G;1;14099781
BI03271JVRYG;1;16680142
BI398016E82S;1;12742816
CZ1774BZCMJ8;1;16860108
GD6387X77TP5;1;8655340
KR90603J087Z;1;19460862
GD8171X4FMUJ;1;8072931
LU7724E0AEIT;1;19151567
GD2939GD35Z4;1;9917616
LU6044MQJG53;1;16695922
GD4527N98XNU;1;16680587
LU9141EDAALZ;1;14325012
TK3958H36QNQ;0;17446367
PO50485Y9XG3;1;5913813
WA2299SSP40R;1;16580930
CZ4285LFUTM5;1;17087284
GD3369S6FF0I;1;12709446
WA0292IVO1CO;1;8563671
CZ8249XAWGDE;0;6950747
KR89961RD2DW;1;6519536
WA988051T0VO;1;8409916
BI9683KUGDUE;1;7378182
BI1894GQIBP2;1;19558624
WA76487B19SD;1;14129454
TK2885HSWWJ2;1;19264220
LU782713SYBY;1;10493361
KR18891R5BZU;1;11485141
BI38243ANQ41;1;6750915
KR0385QLGY48;1;10174398
PO1642FIT9ZL;1;5415960
PO6765FAE93S;1;16022924
GD3076FFM6ZX;1;11087875
BI9577ZK0UGM;1;12920499
CZ3742DXRFTG;1;16980708
GD1519FACBOC;1;16108648
CZ4346G8BIXN;0;13175020
PO6717QPWT9S;1;8306312
PO14421ZV2F1;1;6034306
PO08933VZMFX;1;11826176
TK266176854W;1;10695417
PO2702F4Y48H;1;19692662
KR3071IOH6NW;1;6224790
KR4828M7GSZF;1;14852304
GD2867KC6YK9;1;11711271
KR9229HELQ8H;1;8080484
PO1212YI43N9;1;10561860
TK6403WGI8VH;1;7486678
LU3049P0QD4F;1;6668164
BI4467VHNHGT;1;7871484
BI4960BSS1LF;1;15617796
KR3452R7YLUB;1;10188365
LU1672X0OL4H;1;6149844
KR5556V85ZC7;1;9778164
WA2495LG8QY3;1;11758640
GD9328E76FVE;1;7851239
LU1180TOPCED;1;14752351
KR84554FASMG;1;17776276
GD3130EHFRPU;1;12781852
GD1469BP0X0Q;1;12410502
GD4677O1YCZU;1;9815773
KR9314W62A6X;1;14604083
BI2697IAU7IA;1;5179566
CZ703610TCAR;1;9554444
BI1633YR2PTH;1;5227533
WA5819GG9IA4;1;14373867
GD3027HB1QJO;1;6473610
PO8728M31GMC;1;6483688
BI5926BLKD2F;1;18877637
CZ4558HCQUMK;1;16584382
WA6498MN7DYP;1;17804737
PO8122Y7Y4MG;1;19961142
WA6716NSXU8H;1;9446962
LU00391LK3KD;1;11208305
GD80484EP5K8;1;9070583
PO5602KZNGRD;1;14970082
CZ2099ANRPBT;1;12381238
TK3986C7DDX2;1;14751664
LU4281A3UNRZ;1;12330158
PO7616WQ1847;1;7191655
TK8098WLLPMX;0;15361250
BI89312MF4DS;1;14857443
KR83068BS3NK;1;8098090
CZ57249VWAKY;1;19037842
PO6950SC7N9K;1;16348222
BI1826E030HF;1;14378435
WA43924KENCI;1;17165379
PO40778PB634;1;7423244
BI4862LZIE8P;1;12155084
KR3317XO02MH;1;17513081
TK28701M811D;1;10382402
PO5930C9NDOG;1;19586322
TK1091M6DEQ8;1;14505810
KR62330ZUM2G;1;15211068
GD3217AR4JIT;0;19070040
CZ0127SGBGLT;1;10394494
KR5868RFH6E8;1;18681486
GD5101YMN69G;1;13671778
KR8182HTHJP7;1;17841591
PO8023TP2FVD;1;10336935
WA0097GK5HYH;1;8070815
LU6133CU352O;1;11952602
CZ50666OJ33S;1;7827220
BI88851XPQLA;1;13231126
CZ16261OYLI2;1;17599540
CZ3575LGPN9K;0;13644709
BI3364V2KEG9;1;18762829
BI223265PT14;1;9102009
KR0960I4RGWA;1;6256642
GD79147J85ON;1;10444071
GD8656R1PO5P;1;11095237
WA2598V7L9ZQ;1;9618337
KR50189GILV9;0;19275318
KR3207UD5WE9;1;16523493
CZ4688G7TSAJ;1;17642617
LU41731JIV5Q;0;17138192
TK1158T6NSL0;1;10531628
CZ8650R341HV;0;10305816
CZ16022ZNGYH;1;15339998
PO9030WPXTS4;0;12872852
TK2207O6R387;1;11218657
KR4499AB0FVX;0;13772443
GD6065BZQJK5;1;19923233
BI9485GVKQCX;1;15988710
CZ7774652IGA;0;19310973
WA5069CKJB78;1;5392238
LU58796XHKCJ;1;5594036
LU4758MSMP5F;0;18634724
CZ0376ASB7IT;1;18843582
PO0403T5T3FO;1;14471131
PO23108I8LLB;1;5423799
BI1623DR4AAV;1;17286983
GD2752BANZQ1;1;17813506
KR999885Y48F;1;6372898
PO7448OP1ZCE;0;12550069
PO7873DSMGKV;1;17732041
PO0210CNDVHO;0;15331863
LU0451MO32A1;1;8757021
GD5678WPBWCY;1;7630717
TK6547KRSCI6;1;6845315
KR75045DOS66;1;17557374
LU1145391620;1;8325596
CZ2705G5H53C;0;6785546
TK8918OQ8UW2;1;10605504
KR98450A1GS6;1;17905906
BI6373C8DS97;1;12760348
TK8904H6N316;1;10853349
GD1290A4PIH7;1;11191695
TK9454YD2FQV;1;17595933
BI08027725EB;1;5330909
KR6864FBQSRU;1;10038022
GD8333401SBS;1;5557628
TK2196PPINOJ;1;11254376
BI3191TNYS8J;1;11593003
WA016442MSJP;1;19809767
LU5552V19ZAV;1;9188593
PO6726W0BTBQ;1;7797751
WA2581EWPXLV;1;12161570
TK1162OLXUM5;1;18319884
CZ9308C0FTQ7;1;15822506
LU4951XUE1K7;1;6505980
CZ4322LC6K32;1;15957024
PO3565O0I72G;1;19560005
WA4264NPH8VC;1;9546868
LU8673Z5A196;1;18666821
GD702285RHT0;1;12265684
WA4120M2E84U;1;17950230
CZ5727H0KILH;1;9952784
CZ2114Q6W2QE;1;10102894
PO3207KDJ88E;1;6521766
BI5201QJ43A1;0;15298890
PO13512HQRT1;1;10679479
LU5315V0Y72E;1;14686288
PO8374R3N80I;1;15744484
TK94343UN67S;1;10086538
BI2886BX3DZU;1;6881741
KR3658H90CVC;1;8543976
LU9835TSON7B;1;6614959
CZ8606E39G7U;1;5644652
PO7736RTLL8W;1;7005434
KR3985CT2KA1;1;9395825
WA6428K3XPQD;1;11023761
PO48519IG88J;1;16299352
BI09214LQ42N;1;9456321
GD7341HWVPZM;1;7128130
PO7389O8LVN6;1;13582761
PO8487X9K03Z;1;13373654
BI2473R8TQ3W;1;9031459
BI7641SVBKS4;1;11483385
WA2660KG4CEC;1;15415553
PO2148YHRVRW;0;18398953
LU2350U23F6W;1;12744227
PO7002NESQDT;0;13831068
GD6420A26MUE;1;11914936
CZ0067ZUD5ZK;0;13157842
WA0044YXNW67;0;8254152
LU4217RKES85;1;11511573
LU7117V1ZISM;1;15961964
PO0226TTUS89;0;8982740
WA2317DPFAVP;1;15903374
CZ5588YSOAOG;1;11259294
GD8258O59LNY;1;12942817
LU0669DHAH4Y;1;13437155
WA8869030PMZ;1;8639942
WA5989PQ3VUB;1;16034260
BI864338B7P5;1;6639403
GD1967LPEY2V;1;14599813
LU18737YH6BV;1;5910221
CZ174688L1F2;1;12051699
CZ98675CIEK6;1;15390680
BI6606A4L9C5;1;17585299
GD73847GCDR9;1;6376317
GD4223LQ91ZH;1;13664942
CZ3060LH9CG5;1;14337027
PO4821W3G8AA;1;15540999
GD55330Y70ET;1;6393097
WA1327QN04JY;0;5306734
WA0594618D31;1;16785272
CZ1338UP4W9Z;1;18619791
KR91917BNW24;1;7041185
WA6307UET9UW;1;11376997
LU5073DO6EQ9;1;6055819
BI8941321JXR;1;14063206
GD6898WYPWB6;1;9274304
GD0841BF0L6N;1;5148120
WA8660BT856O;1;12813771
CZ2580YW638O;1;14418267
KR32691DPNC1;1;10457025
LU1353QEDUWA;0;11855188
CZ42774X74EE;1;18911031
PO887046YQT8;1;5487884
GD8908DGJYZG;1;13566973
BI9258RBGCYE;1;9730265
WA0501FKPV9R;1;7568244
GD58498NST1B;1;7485882
PO68204BC67B;1;9968330
TK8952IQLW1S;1;12638835
PO5932A40OXJ;1;19292425
LU1637Z0BNAQ;1;11942421
LU3685K7HKFJ;1;11913124
KR3802Y2O2N9;0;13096398
GD3300GB42YH;0;17150910
TK2163T227FC;1;16952346
PO9775M6F049;1;13871240
KR6266MWRIID;0;14086123
PO616394MNVD;1;17250370
GD47274G11UO;1;16401028
PO5964NFWPFA;1;15954940
KR4026PEHBMF;1;6512890
WA9827LQKZOW;1;7178018
GD3570VQHZCZ;1;6059099
WA95056XYV9J;1;8602001
TK6625TQUF0K;1;6350384
PO6699UE8XD2;1;19352815
BI01865Y45C0;1;12580870
PO0005G2YVT9;1;5692022
WA375917VN6N;1;5653646
WA4330Z0D5WW;1;16708281
GD8063BJSTWH;1;5552380
CZ9095KJNFYN;0;8034479
LU5620VD0CGS;1;9465806
KR5117SJ6O3S;0;11892192
TK2860R5Y9EQ;1;15653406
KR5977E0EPHW;1;6460536
LU5544JQ3COV;1;7976296
CZ501660MIDT;1;6309758
TK4955CRNNEO;1;8674937
PO0050RXYF3B;1;17828502
WA0248FXDWZZ;1;12063229
CZ0220N9LOUZ;1;7651463
PO2513SE9NQY;1;6483445
TK5186YABBZ0;1;13862526
KR8633YOV6LY;1;10376768
LU0687UCM6XJ;1;8117892
LU38483K6OL5;1;18043475
WA0473GPN92Z;1;5172185
PO7457YISKSU;1;7439232
TK77415FZZ4S;1;12145830
KR8410HYCCCA;0;12593785
GD8687OCZ16E;1;8341705
LU9325DYMTQO;0;9396835
BI03577XPZQW;1;8195513
BI3180K1GC5D;1;7928034
TK2887L38YQI;1;12373034
GD2112KYRWO5;1;12180055
GD5917835YJ7;1;17324414
BI5872ZKAGZB;1;16372742
GD3874T71BEL;1;12258680
TK2455IZZIBK;1;6037167
CZ6613OC3MP8;1;19625714
TK1594G3XJ56;1;5281445
PO4179MRXK8T;1;8347217
TK3870XMYAFK;1;12351124
TK2277GHU8DP;1;14622348
LU9172900V5T;1;7573726
CZ4924RNA23T;1;18077945
KR22532T92CB;1;19032568
GD549828M3JU;1;18627526
BI6180VC42KE;1;6450407
WA8037CFM44N;0;11921640
KR7946OZZ5DS;1;10258645
WA2683NGZRUJ;1;6015574
GD31691K8M5C;1;5255583
WA5585UZAKHM;1;12645823
WA6905QFC9H9;1;8871255
TK81852DSEQ3;1;17926401
GD8786F3HHPD;1;14403506
WA4999OCZFAA;1;14350866
TK0239CH8Q34;1;15647030
CZ8113YI87HK;1;19918518
LU969011HPB5;1;6051028
TK4421DWHNLC;1;10943356
GD9173KV287S;1;11332472
WA789696PCTA;1;7182787
PO3802GP4QGZ;1;16768234
BI8926G96S1J;1;10566600
CZ2048MGIQRL;1;11142604
KR882894HEPF;0;9043234
TK7350OT4U0P;1;6678950
LU8175WHSO4S;1;6980705
LU353090QBRY;1;8988360
PO178847OEFY;0;5304860
CZ07378QT8KU;1;19036695
WA59275UTPK8;1;18991246
GD4499LJUEWC;1;11512877
CZ8498SYP9UB;1;19093799
WA1861FBA5L0;1;17269360
CZ0610DPY3NP;1;19664601
TK1247EN1CEL;0;15842290
BI5179VF18K3;1;17360340
TK9705BIMGUI;1;10213888
CZ1991HC6C5J;1;9736692
TK9647Q9LRTS;0;6229529
GD0303GZ3BJ3;1;14489272
PO245835PVG8;1;8872460
WA14995QT3YP;1;7092752
PO9467GI0OSI;1;18268623
CZ87706MLX5Q;1;19196793
WA5633MYNEKE;1;5206882
BI1289JYO0T9;1;7573502
GD06839HRG35;1;14727570
BI5474VFKGB3;1;5968916
LU95274VIVL6;0;18894742
WA8301VQVX2W;0;12343995
PO7739NALZBG;1;7502036
KR5722JA6JQA;1;9411278
BI2872RPSXFF;1;10832295
LU0247LKWYY0;1;10710577
BI3842ERXUWT;1;15972464
BI36161JEUIL;1;5754793
WA0631YGEC60;1;16356961
WA2277C5NYE7;1;15893505
LU0216FG6LRP;1;14390596
TK6477VHRQ1L;0;7050725
LU7669RYISV5;0;14216788
GD9106XRD9H1;1;15585084
GD9757X8EUKP;1;11805403
CZ3120L5WPH2;1;18499060
KR2313EIAKR4;1;17059389
LU482335UGK0;1;7677255
