License_Plate;In_Use;Capacity
GD3934CDIB89;1;17362383
KR0347NYYGTH;1;11980149
WA1863IQ94CU;1;8616245
LU9192835EAZ;1;14873928
TK5912LYRYDC;1;18284044
PO1939JYDA6N;1;7974738
KR8687DMMS8J;1;8535340
CZ3501R8GA1K;0;14302094
WA37003T9WVX;1;6322775
WA7178MYGX4V;1;7232663
WA3742WAIA3F;1;19401202
PO2508B79NU9;1;12548709
LU26235V42I7;1;9727557
KR5100VY0814;1;13518717
CZ88929DV5E2;1;17155544
TK84684WDKHX;0;13238168
TK3782UX8YNZ;1;5062021
BI31509NX1HG;1;18346205
GD4558DI86E1;1;15726696
KR2795W8U9V2;1;16389551
TK4041LZMCQJ;1;14190727
WA44807KMC1T;1;19371196
BI1592777MEV;1;13667610
BI4725V0BXTE;1;13754836
PO84602BU8B9;1;11372307
BI6249STRC05;1;9891625
KR9240BPKLRN;1;12618407
KR4648P5VLFP;1;12574527
CZ5661Z3NXBF;1;19086873
GD9783TJC0Y4;0;13415235
WA27391EWYGL;1;13280636
TK9261C49NAB;0;16638866
BI1073FIK56Y;1;10921963
LU26764IVMG7;1;16121308
CZ1001N3NHM3;1;6222021
BI5658L15PVF;1;9150512
GD73387H27R1;0;18899126
CZ7891ZRUKAI;1;6731962
CZ843330JI2P;0;6236140
LU4544LRI7BW;1;12812791
KR6982D1538W;1;15396652
KR1206A2L5RZ;1;15211605
CZ66085UD0LK;1;9706043
PO4855RHSAMJ;0;12794610
CZ1878NJE13L;1;10246175
CZ2565JEOPDK;1;12577921
TK5928UY09IZ;1;12127785
TK20568V1T50;1;16237567
CZ1985905IF7;1;12932908
KR350028HWNH;1;19242125
KR9270ULJX6F;1;19981500
LU3049NBPXEC;1;18610473
KR338074RPYG;1;15015890
LU2746USJFFQ;1;11076444
BI0920DGS59I;1;5401145
LU34522IN6KU;1;6672194
LU4668FNA4DY;1;15874906
WA1423TNR6RQ;1;17642937
WA9155CVYSUJ;1;7637546
LU5093A05GVJ;1;8519690
PO7596XWYJ9G;1;17109167
KR5634JBL33C;0;18650954
GD66577YBMD2;1;9673397
WA2727SJTGO1;1;13949371
CZ7266E7Q00B;1;10865343
GD7708CAS91Q;1;14242506
KR1562OQK27Z;1;17690101
PO6437MP1AEU;0;8826390
BI00634V86EV;1;16269537
WA5756POUZY7;1;13543929
CZ5570BAM68J;1;14038922
CZ13650Z3E2D;1;16885627
PO4876H0WF2K;1;19224348
PO85399A5VHJ;1;12659423
BI0262ICE252;1;6405303
PO4191X8L5N7;1;13688093
GD0595XXFICB;1;14733014
CZ0670QYO2OA;0;5616689
WA2638NL2J87;1;17765561
GD0288VDNNW9;1;12158635
KR896396DENV;1;18917418
BI5501RQJES9;1;7060152
GD8361MQ5CR3;1;12498103
PO0858SP82JB;1;13620477
BI1238DK959H;1;13373307
TK4269FX5NHP;1;12647464
KR27374T2529;1;14033321
GD2761KLJNQQ;1;12634046
PO4849K67IBV;1;13792677
WA6245PPAAAM;1;15969274
LU16040EFB7W;1;9155178
WA4866SWJB94;1;7734325
KR5818OW29IN;0;17795103
BI3645BZCTEE;1;10792902
LU7080QNRXOR;0;10842134
TK2418I55BHB;1;13395841
TK5681F6CC4X;1;11577247
BI86874SOAAG;1;14407214
LU4192302U8Y;1;14422581
PO356336XFLU;1;12389459
PO3802XR2VE0;0;7186171
TK72983733C2;1;17801799
CZ1800JBK56I;1;9932935
GD7015IN9TJY;1;16036502
WA3633AB347M;1;15265306
TK7444ONX4ZF;1;19491724
KR1010GHZ7W5;1;15353140
BI7373YZFG9U;1;7936435
TK5458ZSP0A8;1;5839772
LU8803FRLU23;1;11743943
BI3155XSMA2J;1;10809756
LU8659YGYR4Y;1;19384769
WA2619XU9Q7E;1;12731799
BI82439HNWMJ;1;11030921
TK457358ZWSA;0;12061026
CZ0700MENHTX;1;13454066
KR8433FA6KOS;1;14393844
TK0829KHJ5WH;1;19243903
CZ9765DKYBGI;1;13247829
PO5106P092E7;0;6182165
LU86932LHIGE;1;9769841
GD8077XPJI02;1;5169133
TK1142T8H418;1;16995359
KR22646073N9;1;10245052
CZ0800O8WM3M;0;12281232
CZ1006DBT6MR;1;8735280
WA8045ARMF9K;1;16362946
CZ5710BJNKSR;1;6898292
LU0291XV54OP;1;19363745
CZ1704O9UI40;1;15244186
CZ4477TVI2W3;1;15451221
KR6906BDRZO3;1;5453583
BI4095V23A9H;1;12195947
GD5227ZDKLI3;1;18225389
WA1421MBLP9Q;1;12840027
LU0951FPZ5ZL;1;9589111
PO8045CSOBLT;1;8281565
PO8192UM7DYQ;1;6710125
CZ73817NUUW3;1;13014467
TK3684ICWHWT;1;8216651
WA60820ZTPBE;1;17522921
LU746094FAIW;1;9793158
PO2265WATQ52;1;17857445
BI1885CC57BJ;1;6097082
GD99986Q39CA;1;5805729
KR35052ISFZ5;1;17462495
LU5994VQMHHX;0;9647294
LU1110ES36PV;1;13421778
PO6439XB20DO;1;19660181
WA1322RHOQSR;1;9540354
KR1650TGJBN3;0;15521077
TK1139VCQDIY;1;13928634
WA3110FSWK7M;0;16407842
TK47232R1JG2;0;6326020
LU9201913YK2;1;17315309
LU0958IJ98GI;1;9303306
KR2743GYV74V;1;19367706
WA3146MO9G28;1;6440532
LU9148VB1VZB;1;18328443
BI4220MAQ64W;1;8144098
TK8859P4F1VE;1;12027833
TK6915WPZ8XQ;1;10430873
WA4638JV6USS;1;9803458
KR88783K4WWV;1;17803593
LU3401RHOHHK;1;12081825
BI3518S3FBXV;1;16444217
BI3948FQ6QOE;1;6851246
PO1077VRXIOC;1;10216084
GD2595XO0W5I;1;8354591
LU53694IUK4Q;1;12368165
CZ8816APTXN7;1;6992815
GD7424KBVI2P;1;16425306
WA2422NSAZD7;1;12499270
BI2378YGA719;1;9200635
KR190578DR9Q;1;10373835
WA3553ACGGZV;1;5889785
WA2026VRN4XS;1;8554323
CZ2955S0QDBX;1;12766528
LU95402V9GY5;1;15025592
WA3886Y0U4BM;1;5913548
KR98025MBNLO;1;18423162
GD70828UI85O;1;15550251
TK0343S6FE6X;1;12518328
GD938440NC8L;1;10645859
CZ27752PSRUN;0;6124312
CZ8169EK9AF1;1;6554948
BI6251X4LJ2O;0;19510266
BI757400LB1T;1;6547987
WA75498ERJHC;0;17842417
TK4624VLS49F;1;10190220
CZ9267QZVMV7;1;15356883
KR5641POO0O6;1;11219210
GD4727TDJ5R7;1;15845485
KR050913G6HR;1;7845222
TK832878400F;1;18556906
TK7622WXQUHI;1;19848922
CZ3008GVGE14;1;8625879
KR8963HZRR87;1;6879820
CZ00783EHCBO;1;8406686
GD6006GHOWOQ;1;8686656
GD8392WEZVA6;1;7548970
KR0652NQTXL9;1;7295269
LU7099PV70CU;1;14591179
TK0855X1X165;1;14571844
LU3625V5WZ45;1;14073727
LU0635RF2NB9;1;6476624
WA10274IQQDL;1;5187333
TK3054GQ5L1B;1;16061156
BI341917E7DS;1;15625811
GD2310RY9KO9;1;18381174
CZ8672BJJYPF;1;16497435
BI13690MUSSH;1;11439570
WA50131KV4YX;1;6909481
CZ1933RN3GZL;1;17259001
WA7953CRP45Z;1;12158576
TK2679SDV530;1;19133084
WA4968QPKVXI;1;16504440
WA839333A0DT;1;19123032
LU8240PXG2UB;1;19026149
PO1456TP57M1;1;19959428
BI5936NG0LEK;1;19450043
BI4479V2VFZK;1;5692666
LU2080NYS9EU;1;6413900
PO4987C7X9BW;1;15384286
LU0588MIL5S3;1;11769954
KR6746KZLIGE;1;14794331
CZ9454ESDGZK;0;10898681
BI61848EN6GE;1;5048887
PO98010UBVWP;1;15579332
KR6454MIPXHJ;1;16895902
GD7976EAVKUK;1;5234288
TK7722SLLURN;1;7468471
PO9622B5OQ0F;1;8676930
LU7396ORE64N;1;13339216
WA74180VTFYU;0;19222869
GD0394YSJRQ8;1;19550017
TK22285Z1OYC;1;10945191
PO5959ZU7BQW;1;19862084
PO0954BZVK54;1;14687593
KR0019AS7R8D;1;12427496
WA7420NLRQAV;1;12776806
LU3445O3JBWL;1;6382455
WA15343WO3LQ;1;19150465
TK0984B5E5U3;1;7633678
BI1175MXMR75;1;19289311
GD0452HL3YMD;1;9101253
BI7554EEGDY6;1;6880359
KR8377AQVNFW;1;18357138
GD453739APEZ;1;6652731
KR4526G53D04;1;11977216
CZ5674REN49Q;1;5984705
BI9588IPZIG3;1;12093207
KR8554NPX14V;1;18046464
LU8037IQSOGJ;1;10851437
KR8385HVAB2Z;1;13063822
TK1098P93PL8;1;13735401
TK0737IOR9S7;0;14097500
CZ2296LGY0OU;1;12923594
KR28744CLKHD;1;11984446
LU2938DL60U6;1;6383981
PO76726SS1MD;1;19897422
GD4982ZA6B8R;1;8089996
CZ7091GE2ICM;1;17047986
GD6091HG0T53;1;7484934
GD8822COYG4O;1;7830523
KR5818LQXG4P;1;11043679
TK3324QYP4F2;0;10460176
KR9129Q5DTH9;1;7354869
WA5060VG7XRF;1;13907837
LU4210VI8WIZ;1;16652787
CZ0848DBHYBW;1;11367236
BI43459BRW5P;1;7547110
CZ87474E2YG8;1;15883954
KR3909OCRHMG;1;12222345
KR6066O13MFA;1;7838762
TK7203BK474S;1;11209247
TK0976HYZZ1B;1;13630774
CZ9805S3B23I;1;17003865
TK0148U9N4P5;1;17285961
PO26977LSQ7B;1;10008740
LU06594NNZ7T;1;6400553
BI8584ESUXGN;1;12998592
WA7784DS9C2U;1;15201917
TK24714PVZ9A;1;7370177
BI1233IARJ9Z;1;15722044
PO5859HGIIJH;1;5565302
LU45284H5CT7;1;6297226
TK6270OOI1P2;0;10938704
LU5724FYO9KJ;1;12041980
LU078033HQXO;0;16515124
WA4315FP6RDV;1;18029438
PO32445RT7V2;1;17430383
PO73262CXIPL;1;19752066
WA9559DMTW3S;0;9094829
WA6047JLOD68;1;15398176
BI7752G24WOO;1;6080503
TK0756W6CM92;1;16228613
GD5762XQ9CKI;1;7410934
CZ95779X8X83;1;5061842
BI8017ZODUTU;1;18395525
TK1323ED2LTJ;1;5972778
CZ5068TCXZL8;1;8095739
WA0117R4EL4F;1;13875275
GD335157CEIA;1;18534296
LU4826HK9G0N;1;6328497
TK523684BP1G;1;5162531
GD3508XMR0I7;0;12495899
CZ88093Q5NAO;1;8216110
CZ2556F7GIXQ;1;18967103
LU572427ZLRV;1;5274421
PO4148HE06TU;1;10674258
WA2280I6U3R0;0;10081395
TK7173NB22BR;1;18352595
TK4490UMLJ0Q;1;11182304
GD1065D9YXZI;1;19231893
KR1917E3LGIN;1;6076191
WA4585RDUDQN;1;12950740
LU0092J3ZXHE;1;14541480
GD5047MT02AT;1;17329524
TK4437V5YT5M;1;13514349
KR751645OFQ2;1;6173934
GD99198OHR92;1;17897934
WA50750MQRWK;1;5496191
LU64516VW64Y;1;10281020
KR4816PKIGAI;1;13823349
GD1555H8QOLI;1;12042474
CZ9978Q4CL7X;1;9395276
BI9328E0WQDG;1;17336464
LU7208WOPQ90;1;9704271
PO1376GL4H3D;1;12970407
BI9780XO9124;0;5518330
GD4502757S5I;1;16634837
GD9087B3PNQ4;1;8706359
TK3638OA0TII;1;18110760
PO1612Q7A8JW;1;6346153
CZ470012LN29;1;7139247
BI2077JR5WH8;0;17864885
CZ63045N50XA;1;14217250
BI7685Y7QQ72;1;7810982
KR4286KVOI9G;1;6153952
PO4518SYLEPK;1;13832290
GD4968YE6O1Z;1;11890870
KR4161YNVA7T;1;18864582
GD7542H2KST5;1;8770554
CZ7182IJ81SO;1;14916280
BI4903OPXAED;1;12553408
PO09737WGJEX;1;5587751
TK7905OJPW4B;1;9325549
GD0771FQ7P03;1;13536562
GD7725GMOWJA;1;8664262
WA4827DNMEZK;1;15470150
PO1710FTWVR5;1;18300736
WA0671EFW0YY;1;19831642
TK5506XVIPO8;1;9369648
TK33292CP507;1;15110154
WA01213DGT7F;0;18489236
KR9434HUSBO3;1;7503491
BI41378N2P8N;1;19005713
PO7020JSL0L0;1;5318686
PO571075BKPB;1;8866965
BI6884N960GI;1;14990416
TK6469V1HZ00;1;17650112
PO1912XLTS7Q;1;17147286
CZ9071M39EVW;1;13799213
WA8890SBC3CC;1;19783508
KR3676XYM16Z;0;11885762
TK5626AFC0QQ;1;12185668
KR6467081BHV;1;5355150
BI01525BKV7B;1;10013871
KR5951YQATW7;1;8195115
WA20525TXD44;1;19045424
WA50769WSL7S;1;18266730
WA10875XGHVH;1;16657903
TK5046YBHJWX;1;15891734
TK1617CMYQ9H;0;14233058
KR1410ERUS9H;1;11852085
WA7180XA2YP6;1;9606992
CZ3679200ETO;0;17774051
KR9014JOB1YZ;1;19075869
TK5323CPUFFM;1;10936306
WA4200SDGX5M;1;19283630
BI46973DDAY4;1;5937874
BI14033RNETE;1;17251569
KR3660Z2HDJD;1;9384123
PO7179E5708K;1;8635682
WA8604VKV8AV;1;13762443
LU9474MTHCCD;1;15510335
GD46031U6VA9;1;18601950
KR9108TVU5N9;1;15257908
TK5652IH5927;1;5637867
CZ90493NDOZR;1;14934639
BI0450LYAF92;1;16329179
WA73763U8ESP;1;18199638
WA7661GNFDUM;1;16624508
BI4401KLOXHQ;1;19836212
TK765877KR6Z;1;18764395
WA9397TDBC8S;1;10118935
GD4931IYGROT;1;11402002
KR71873OD6IB;0;6359774
CZ6974OJD5NP;1;9065231
GD71265GINJL;1;10811408
CZ3772AUP6G4;1;16716983
GD4708MVV98L;1;6239274
CZ98283AYNFX;1;13762274
WA2955W3IBW8;1;15790712
PO5013EVH2UW;1;11180941
KR0145DXVTGA;1;6623626
TK89071WXPX3;1;13989985
CZ8596CB2Y2O;1;5404918
TK6899NEUPYI;1;10979946
TK9102Y3CYXB;1;5872889
TK013388UROU;1;11301697
KR4280NQJHTQ;1;17516809
PO03884TIE4O;1;17885320
WA95378K3AAM;1;19561521
LU8163ZPNKSQ;1;6300527
PO9617SFVJY9;1;19691375
LU5016PZ0IP6;1;13563337
GD4571AA5Y1I;1;9921266
TK5641Y11V5V;1;13306583
CZ12610O1MMA;1;10964404
GD1835YD9D9S;1;15608539
KR8380WHMNBR;0;12600229
TK9421GWF4BM;1;9209566
TK0817O44GTA;0;15813629
LU8509YGAVWW;1;9476111
KR8020A5X3CS;1;7163419
GD9238F6I0ZQ;1;12588900
LU15473GTFV6;1;11341584
BI4478USTI5M;1;19744457
TK0558I5MYZS;1;5611433
WA9251ZVHUBP;1;11429889
CZ6168OM014S;1;19551066
BI2818SG7SY1;1;19608159
PO4125RPIF21;1;16234914
LU7907IY6GB9;1;6012854
WA8596RZPU2O;1;12977056
KR8697NV2DXC;1;8207016
PO10829MV6X5;1;12185948
CZ0471QJ5PPZ;1;13409090
GD4955MMCC7Q;1;14631499
GD9337M920J2;1;18373819
GD6510UK8HTS;1;6703684
GD2422B502LF;1;18398112
BI7812QORMUO;1;6981378
LU8396H3QMM9;1;13694078
PO7370DIPU9A;1;7367909
WA8658R1FNXH;1;5015110
BI9927S1MZHH;1;16051909
WA3097BZJGE5;1;18453028
TK1326TX42XR;1;15638399
WA8988MU6TXN;1;11910237
TK7245ILKXS5;1;17292800
KR0973153GCK;0;18844251
LU3993ARVJYI;1;16502352
LU1826MXVGUG;1;15204801
BI45404PFR8H;1;9463914
BI91578FA5SX;1;15142926
LU9079PI7Z09;1;10600825
WA4467ZQ3WQ2;1;10212458
LU6031EZJ3IX;0;5552230
PO4049BRGNHD;1;8060901
WA87287U3BAV;1;17508168
TK4822Y6K9B9;1;10136683
KR5983L11LPA;1;17779042
KR1096PFTNJR;1;10047903
TK10405JMBNB;1;12470251
TK9272U7R2VG;1;12040015
GD2631N75IH8;1;5603441
BI32353OI2PM;1;12368211
PO7756EQKMFZ;1;17791955
TK1818JDAGSZ;1;18723842
CZ9549D1ESPC;1;10538189
GD7695AY2T55;1;9125630
PO9330RRCFYO;0;5683697
CZ4984622RNA;1;13948612
BI3059AQ07IX;1;5001625
BI573403L1DI;1;5535780
KR4614D78WUA;1;7726980
KR71190UL41B;1;5026450
LU332178NI8C;1;17052087
KR9296AI9M6X;1;9923775
CZ7785T6YOX5;1;11982432
LU1885I9K3UG;1;11325706
KR8145UJ65NC;1;16976421
BI0943Y9W9EN;1;9497728
BI6255XZKH32;1;6289352
LU97330I6WYD;1;6137493
PO94619EKOAS;1;16357014
LU8086XN1O8V;0;12770985
CZ3756N0C6IS;1;5367328
KR4614BZYLB1;1;17746842
WA9380DU3YY1;1;5120153
KR0090NNN2OS;1;6628646
LU0429OR21UW;1;6115909
KR4121Y9HEF4;1;17078863
KR8233WK59SB;1;5876216
PO7502DPQ2MM;1;9874064
PO5359VMNK8L;1;8523301
BI5938GHUFDY;1;18547416
BI1074QQI7GS;1;16532268
TK5073V46WQL;1;12620677
KR921770Y52J;1;15405813
KR9761OFADDQ;1;19483089
LU5140DCZIYV;1;13898131
KR291725Z7G8;1;16534788
PO70625ALB9E;1;17859964
PO20233LLJZZ;1;10078619
PO9005BCOZBA;1;13923930
GD02797S8JJN;1;12762492
KR0997B4E0Z2;1;19366638
CZ8357I5D2JQ;1;9287507
PO6433OJTCV9;1;19534874
LU01806GU7SY;1;14942077
WA4873UO5P0C;1;5759376
CZ3253RA8FJT;1;7897372
GD15043DZ6UD;1;13754020
TK8339496QX4;1;10364476
TK1135EOXI8K;1;5244717
BI8522Y5M6JY;1;11646684
GD9179E62OZ5;1;5768882
LU7175716KRX;1;12466120
LU48344C0806;0;19922580
KR8533WLCSNW;0;7310655
GD521426OCSK;1;16200793
PO0228DKES4L;1;6646469
BI8773J65QJZ;1;18995937
PO7521IQFEBG;1;13898856
GD2938JD0EO7;1;11959832
LU62413OIBJH;1;5062764
PO660495FANB;0;16230774
PO9531ASQMVC;1;17698796
KR14727R7JB8;0;11069401
BI6686IG23W5;1;15902233
TK9214YB6EYU;1;7665986
PO5702JWKYN7;0;8752893
CZ6033APYFNW;1;19991880
PO93832WBQVF;1;16631122
TK8929JAXPAF;1;8042763
LU1006X3R55G;1;11092390
TK3781P8CRSU;1;17400100
WA1257WKDUJT;1;17136428
KR4526MVF367;1;5766115
PO6233E4K9ON;1;18028179
LU4396NM5IWE;1;6557399
KR3472FZYO4G;1;15982417
LU5125KPPND3;1;10820995
KR0864H5TV2U;1;13004555
CZ7581MM1DLU;1;8477233
GD2538U4JQQU;1;6719339
CZ7218GEN0PJ;1;5132891
KR5489BET3NQ;1;10784270
WA6604NLS2I9;1;9702062
CZ8669PHJRQ7;1;13626482
WA00467IAYV9;1;15590970
KR514962YVXN;1;12264894
KR5687TSWRWX;1;11971309
GD09986DTMJU;1;13938748
PO4750A0YM4F;0;19127570
WA8923OBDHT4;1;9022609
WA1835MZ9Y1K;1;13867005
GD3959YF1XEY;0;19840696
PO922103GY7M;1;19614208
GD50007GDE23;1;10750639
KR0053L7MAY6;1;5578505
TK0314GO87FS;1;8561403
BI6821FHCX80;1;17682564
GD9584VWT0WZ;1;13053125
CZ18877QN3Z4;1;11006528
TK3728W4O7PD;1;8009633
LU8891048PI5;1;13708143
WA8147NW70GH;1;10380124
KR2650MXF1H6;1;18206818
CZ4482CP2U1W;1;19997171
CZ8584D0OX8I;1;16463721
LU5558A6MLBO;1;17260348
GD0625RIABCC;1;6476238
GD97677YF6IT;1;11768983
TK8132BPSCYO;1;9500365
LU74093ANXFE;1;5968011
TK1931A0HYBM;1;19903594
TK5141N1PPZ0;1;11101167
WA42281BA4X3;1;14448194
PO9669TSG1E7;0;14866330
GD3101TETH6Q;1;6607338
BI5129G6Q65B;1;16043874
WA1213HUQ3B5;1;18657333
KR1366ZJMTGJ;1;12937775
TK2767UUTKKS;1;16785905
WA9945VLID4B;1;18234717
CZ32067O5RE4;1;14872053
LU3587ZFMHKP;1;11689923
PO1508HGXY1O;1;19290026
LU4429S7SW07;0;9213592
KR86017ML9KH;1;17321213
GD2749NKCU77;1;8102253
PO4250HP2DK8;0;15125424
PO9060O3UWFX;1;18175320
KR2148QM28RN;1;14705139
LU32000BRXLX;1;17183069
TK9902C2H5DJ;1;10301636
PO01932GDCAC;1;5497151
LU4916E19RPK;1;5404678
GD8049KEC6ZP;1;9367421
GD34225OY0U3;1;13977943
TK8391C1TT37;1;17772996
WA4994MWHR27;1;15733188
