vehicle_id;type;electrical;purchase_date;engine_power;in_use;battery_capacity;name
101;bicycle;1;11-12-2018;579;1;778;bicycle1101
102;bicycle;1;23-08-2015;1445;1;848;bicycle1102
103;bicycle;1;16-04-2018;1221;1;683;bicycle1103
104;scooter;1;12-08-2018;890;0;621;scooter1104
105;scooter;1;05-07-2018;393;1;702;scooter1105
106;scooter;1;24-01-2019;1429;1;803;scooter1106
107;scooter;1;02-04-2019;963;1;959;scooter1107
108;bicycle;1;18-09-2015;1390;1;764;bicycle1108
109;bicycle;0;23-06-2019;0;1;0;bicycle0109
110;bicycle;1;13-11-2015;1266;1;524;bicycle1110
